Sr_No,Date,Startup_name,Industry_Vertical,SubVertical,City_Location,Investors_name,Investment_Type,Remarks,Amount_USD
2991,02-01-15,VioletStreet,Not specified,Not specified,Not specified,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",Seed and Funding,Not specified,0.315
2990,02-01-15,Lenskart,Not specified,Not specified,New Delhi,"TPG Growth, TR Capital, IDG Ventures",Private Equity,Not specified,2.15
2994,05-01-15,Gympik,Not specified,Not specified,Not specified,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,Not specified,0.135
2992,05-01-15,Lookup,Not specified,Not specified,Not specified,"DeNot specified Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishNot specified)",Seed and Funding,Not specified,0.38
2993,05-01-15,Fame,Not specified,Not specified,Not specified,TO THE NEW Ventures,Private Equity,Not specified,10
2996,06-01-15,Purplle,Not specified,Not specified,Not specified,IvyCap Ventures,Private Equity,Not specified,0
2995,06-01-15,Near.in,Not specified,Not specified,Not specified,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,Not specified,0.285
2999,06-01-15,Frankly,Not specified,Not specified,Not specified,Matrix Partners,Seed Funding,Not specified,0.6
2998,06-01-15,Tookitaki,Not specified,Not specified,Not specified,"Jungle Ventures, Redbright Partners, Blume Ventures",Private and Equity,Not specified,1
2997,06-01-15,NumberMall,Not specified,Not specified,Not specified,SRI Capital,Private Equity,Not specified,10
3000,07-01-15,Faircent,Not specified,Not specified,Not specified,"Devesh Sachdev, Ashish Tiwari",Seed Funding,Valuation at $4M,0
3002,07-01-15,Bewakoof,Not specified,Not specified,Not specified,"Rohit Bansal, KuNot specifiedl Bahl, Nikhil Vora",Seed Funding,Not specified,0
3003,07-01-15,Stridalyzer,Not specified,Not specified,Not specified,Kickstarter,Crowd Funding,Not specified,0.030768
3001,07-01-15,Nurturey,Not specified,Not specified,Not specified,Seedrs Crowd funding platform,Crowd funding,Not specified,0.125
3004,07-01-15,Commonfloor,Not specified,Not specified,Not specified,Google Capital,Private Equity,3rd Round,5
3005,09-01-15,Sokrati,Not specified,Not specified,Not specified,"IvyCap Ventures, Inventus Capital",Private Equity,Series B,0
3007,09-01-15,TapCibo,Not specified,Not specified,Not specified,Alok Goel,Seed Funding,Not specified,0
3006,09-01-15,YepMe,Not specified,Not specified,Not specified,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,Series A,13
3008,12-01-15,Verayu,Not specified,Not specified,Not specified,"GWB Group, Blume Ventures",Private Equity,Not specified,0
3009,12-01-15,MyDreamStore,Not specified,Not specified,Not specified,Undisclosed Investors,Seed Funding,Not specified,0.29
3010,13-01-15,AppVirality,Not specified,Not specified,Not specified,"Rajan ANot specifieddan, Mike Galgon, Ashim Mehra, Mohit SaxeNot specified, Ravi Gururaj, TNN Capital & IIG",Seed Funding,Not specified,0
3011,14-01-15,RateGain,Not specified,Not specified,Not specified,TA Associates,Private Equity,Not specified,50
3012,15-01-15,Wishberry,Not specified,Not specified,Not specified,"Rajan ANot specifieddan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,Not specified,0.65
3013,16-01-15,eKincare,Not specified,Not specified,Not specified,Adroitent Pvt. Ltd.,Seed Funding,Not specified,0.161
3014,18-01-15,Shopclues,Not specified,Not specified,Not specified,Tiger Global & Other investors,Private Equity,More Details,100
3016,19-01-15,Ping Digital,Not specified,Not specified,Not specified,Consortium of Angel Investors,Seed Funding,Not specified,0
3018,19-01-15,Hostel Dunia,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3019,19-01-15,Play Your Sport,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3020,19-01-15,Yo Grad,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3021,19-01-15,ENot specifiedbli,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3022,19-01-15,CBS,Not specified,Not specified,Not specified,Hyderabad Angels (at Startup Heroes event),Seed Funding,Not specified,0.016
3017,19-01-15,HealthyWorld.in,Not specified,Not specified,Not specified,Group of Angel Investors,Seed Funding,Not specified,0.2
3015,19-01-15,Refiral,Not specified,Not specified,Not specified,Cogent E Services,Seed Funding,Not specified,0.33
3024,20-01-15,Amagi Media Labs,Not specified,Not specified,Not specified,Premji Invest & Mayfield Fund,Private Equity,Not specified,0
3025,20-01-15,HealthyWorld.in,Not specified,Not specified,Not specified,Group of Angel Investors,Seed Funding,Not specified,0.2
3023,20-01-15,Hopscotch,Not specified,Not specified,Not specified,Eduardo Saverin & Velos Capital,Private Equity,Not specified,11
3027,21-01-15,MyDreamStore,Not specified,Not specified,Not specified,Undisclosed Investors,Seed Funding,Not specified,0.325
3026,21-01-15,Simplilearn,Not specified,Not specified,Not specified,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,Not specified,14.75
3031,22-01-15,Freshmonk,Not specified,Not specified,Not specified,"August Capital Partners, Michael Blakey",Seed Funding,Not specified,0
